1 A-  prefix. (also an- before a vowel sound) not, without (amoral). [greek]
2 Aa  abbr. 1 automobile association. 2 alcoholics anonymous. 3 anti-aircraft.
3 Aardvark  n. Mammal with a tubular snout and a long tongue, feeding on termites. [afrikaans]
4 Ab-  prefix. off, away, from (abduct). [latin]
5 Aback  adv.  take aback surprise, disconcert. [old english: related to *a2]
6 Abacus  n. (pl. -cuses) 1 frame with wires along which beads are slid for calculating. 2 archit. Flat slab on top of a capital. [latin from greek from hebrew]
7 Abaft  naut. -adv. In the stern half of a ship. -prep. Nearer the stern than. [from *a2, -baft: see *aft]
8 Abandon  -v. 1 give up. 2 forsake, desert. 3 (often foll. By to; often refl.) Yield to a passion, another's control, etc. -n. Freedom from inhibitions.  abandonment n. [french: related to *ad-, *ban]
9 Abandoned  adj. 1 deserted, forsaken. 2 unrestrained, profligate.
10 Abase  v. (-sing) (also refl.) Humiliate, degrade.  abasement n. [french: related to *ad-, *base2]
994 B1  n. (pl. Bs or b's) 1 (also b) second letter of the alphabet. 2 mus. Seventh note of the diatonic scale of c major. 3 second hypothetical person or example. 4 second highest category (of roads, academic marks, etc.). 5 (usu. B) algebra second known quantity.
995 B2  symb. Boron.
996 B3  abbr. (also b.) Black (pencil-lead).
997 B.  Abbr. 1 born. 2 cricket a bowled by. B bye.
998 Ba  abbr. 1 bachelor of arts. 2 british airways.
999 Ba  symb. Barium.
1000 Baa  -v. (baas, baaed or baa'd) bleat. -n. Sheep's cry. [imitative]
1002 Babe  n. 1 literary baby. 2 innocent or helpless person. 3 us slang young woman. [as *baby]
1003 Babel  n. 1 confused noise, esp. Of voices. 2 scene of confusion. [hebrew, = babylon (gen. 11)]
1004 Baboon  n. Large long-nosed african and arabian monkey. [french or medieval latin]
1757 Cacophony  n. (pl. -ies) harsh discordant sound.  cacophonous adj. [greek kakos bad, phone sound]
1758 Cactus  n. (pl. -ti or cactuses) plant with a thick fleshy stem and usu. Spines but no leaves. [latin from greek]
1759 Cad  abbr. Computer aided design.
1760 Cad  n. Man who behaves dishonourably.  caddish adj. [abbreviation of *caddie]
1761 Cadaver  n. Esp. Med. Corpse. [latin cado fall]
1762 Cadaverous  adj. Corpselike; very pale and thin.
1763 Caddie  (also caddy) -n. (pl. -ies) person who carries a golfer's clubs during play. -v. (-ies, -ied, caddying) act as a caddie. [french *cadet]
1764 Caddis-fly  n. Small nocturnal insect living near water. [origin unknown]
1765 Caddis-worm  n. (also caddis) larva of the caddis-fly. [origin unknown]
1766 Caddy1  n. (pl. -ies) small container for tea. [malay]
1767 Caddy2  var. Of *caddie.
